Server_IP	Test_IP
172.67.134.151	27.111.228.132
104.27.166.106	110.93.192.198
192.0.66.88	27.111.228.209
151.101.65.171	27.111.228.34
151.101.1.195	27.111.228.34
151.101.194.217	27.111.228.34
104.17.165.41	185.1.15.41
104.28.21.89	110.93.192.198
104.19.155.33	185.1.15.41
104.27.128.96	110.93.192.198
151.101.192.155	27.111.228.34
104.16.208.71	185.1.15.41
23.34.190.140	80.249.209.208
104.31.86.222	110.93.192.198
195.47.247.8	80.81.193.119
104.27.132.58	110.93.192.198
104.16.118.93	185.1.15.41
104.22.76.166	27.111.228.132
104.20.2.51	110.93.192.198
76.76.21.21	52.93.69.24
31.216.147.130	149.6.66.198
104.18.12.167	110.93.192.198
104.26.10.239	110.93.192.198
104.18.188.55	185.1.15.41
8.20.73.150	4.59.141.110
104.18.131.225	185.1.15.41
151.101.194.137	27.111.228.34
104.18.14.41	110.93.192.198
104.18.3.159	110.93.192.198
94.237.57.11	100.69.2.115
107.154.251.68	27.111.229.74
104.20.59.241	110.93.192.198
99.83.161.79	52.93.69.136
104.18.44.219	110.93.192.198
172.67.207.6	27.111.228.132
192.0.66.32	27.111.228.209
204.74.99.100	195.229.29.158
172.67.177.12	27.111.228.132
192.229.162.112	152.195.233.129
104.16.100.12	185.1.15.41
161.170.244.214	12.88.230.90
151.101.129.177	27.111.228.34
151.101.66.217	27.111.228.34
104.16.51.212	110.93.192.198
172.67.30.148	27.111.228.132
104.27.152.130	110.93.192.198
35.201.118.58	216.239.51.115
104.17.94.209	185.1.15.41
151.101.194.202	27.111.228.34
172.67.68.78	27.111.228.132
104.18.11.107	110.93.192.198
151.101.128.84	27.111.228.34
104.26.2.2	110.93.192.198
104.28.7.161	110.93.192.198
104.17.2.6	110.93.192.198
151.101.65.111	27.111.228.34
104.20.39.71	110.93.192.198
172.67.166.193	27.111.228.132
185.165.123.185	62.115.162.243
104.20.23.46	110.93.192.198
104.20.39.240	110.93.192.198
104.27.147.178	110.93.192.198
104.22.0.111	110.93.192.198
104.17.46.52	185.1.15.41
172.67.141.125	27.111.228.132
104.18.67.79	185.1.15.41
192.0.66.24	27.111.228.209
104.20.160.69	110.93.192.198
151.101.194.2	27.111.228.34
104.20.139.65	110.93.192.198
43.245.43.59	202.68.67.134
23.185.0.2	27.111.228.34
192.0.66.184	27.111.228.209
104.31.13.180	110.93.192.198
172.64.101.12	27.111.228.132
104.20.31.130	110.93.192.198
104.16.43.54	110.93.192.198
104.28.23.206	110.93.192.198
104.26.1.26	110.93.192.198
151.101.192.93	27.111.228.34
104.26.1.105	110.93.192.198
104.18.241.115	185.1.15.41
104.26.5.64	110.93.192.198
103.102.166.224	27.111.228.186
5.8.69.22	62.115.162.243
104.16.172.17	185.1.15.41
151.101.193.69	27.111.228.34
151.101.130.166	27.111.228.34
172.67.36.146	27.111.228.132
185.12.49.12	80.81.196.174
151.101.66.133	27.111.228.34
172.67.68.156	27.111.228.132
104.18.231.83	185.1.15.41
104.26.7.10	110.93.192.198
104.16.92.83	185.1.15.41
104.19.185.16	185.1.15.41
35.190.29.187	172.253.51.131
104.64.16.106	80.249.209.208
104.18.46.64	110.93.192.198
104.26.13.39	110.93.192.198
123.57.253.206	11.220.137.121
130.211.9.113	216.239.51.123
104.17.8.12	110.93.192.198
104.26.1.57	110.93.192.198
151.101.66.137	27.111.228.34
172.67.71.36	27.111.228.132
151.101.193.54	27.111.228.34
104.26.10.152	110.93.192.198
162.125.248.1	162.125.86.141
172.64.166.23	27.111.228.132
104.20.53.56	110.93.192.198
151.101.2.166	27.111.228.34
104.18.162.29	185.1.15.41
151.101.2.114	27.111.228.34
172.67.20.219	27.111.228.132
172.67.73.7	27.111.228.132
104.26.12.70	110.93.192.198
151.101.10.217	27.111.228.34
172.67.19.54	27.111.228.132
172.67.16.48	27.111.228.132
35.227.216.47	172.253.51.133
216.239.32.21	108.170.227.189
104.26.7.205	110.93.192.198
104.26.13.58	110.93.192.198
104.20.6.160	110.93.192.198
209.58.185.195	43.249.36.15
151.101.2.7	27.111.228.34
35.227.233.104	216.239.51.113
173.254.190.147	74.221.233.156
172.67.70.182	27.111.228.132
104.20.16.40	110.93.192.198
172.67.177.128	27.111.228.132
151.101.64.239	27.111.228.34
104.18.57.125	110.93.192.198
104.20.58.102	110.93.192.198
104.22.57.156	27.111.228.132
104.22.69.66	27.111.228.132
94.237.53.171	100.69.6.67
151.101.8.144	27.111.228.34
104.22.16.101	27.111.228.132
151.101.129.69	27.111.228.34
192.229.189.15	61.69.45.186
104.26.14.238	110.93.192.198
104.16.253.70	110.93.192.198
151.101.66.166	27.111.228.34
151.101.66.98	27.111.228.34
104.16.89.146	185.1.15.41
151.101.2.137	27.111.228.34
151.101.1.154	27.111.228.34
151.101.129.181	27.111.228.34
151.101.129.185	27.111.228.34
104.17.148.7	185.1.15.41
104.27.39.116	110.93.192.198
104.26.2.245	110.93.192.198
152.195.50.33	152.195.232.129
104.18.126.77	185.1.15.41
151.101.194.110	27.111.228.34
104.16.14.194	185.1.15.41
172.64.129.21	27.111.228.132
104.18.25.174	185.1.15.41
151.101.193.188	27.111.228.34
104.22.67.194	27.111.228.132
104.19.173.21	185.1.15.41
104.22.21.173	27.111.228.132
104.26.5.139	110.93.192.198
162.159.130.81	210.57.81.22
151.139.128.8	151.139.84.8
104.22.13.119	110.93.192.198
91.189.88.181	212.113.8.154
104.27.160.157	110.93.192.198
151.101.1.63	27.111.228.34
104.16.186.233	185.1.15.41
151.101.129.132	27.111.228.34
104.18.14.116	110.93.192.198
104.19.133.80	185.1.15.41
104.26.3.132	110.93.192.198
104.26.3.12	110.93.192.198
104.22.53.65	27.111.228.132
151.101.128.200	27.111.228.34
104.27.169.248	110.93.192.198
172.67.194.69	27.111.228.132
151.101.64.194	27.111.228.34
74.208.255.134	80.239.161.89
172.67.189.32	27.111.228.132
151.101.65.69	27.111.228.34
151.101.1.52	27.111.228.34
104.27.177.200	110.93.192.198
104.17.99.66	185.1.15.41
104.18.90.237	110.93.192.198
151.101.2.217	27.111.228.34
151.101.76.116	134.159.145.114
104.27.150.41	110.93.192.198
104.31.74.34	110.93.192.198
