Server_IP	Test_IP
184.95.52.107	108.170.0.37
186.2.163.90	62.115.137.65
125.209.222.141	27.111.228.165
52.76.61.123	52.93.10.71
54.251.99.37	52.93.10.77
210.140.92.141	158.205.95.54
104.125.30.56	23.210.52.35
199.107.238.205	12.122.251.46
140.82.113.4	98.124.190.162
195.50.177.61	195.50.167.229
3.1.243.221	203.83.223.17
107.150.101.156	104.254.115.233
77.88.55.55	80.81.192.251
87.240.190.64	87.240.191.210
159.65.89.65	138.197.251.143
18.204.109.174	52.93.28.242
35.154.204.153	52.95.67.212
117.27.136.118	202.97.50.161
23.46.170.210	195.2.24.185
13.251.82.77	203.83.223.21
23.92.23.97	89.149.183.254
40.114.106.174	104.44.21.208
15.206.140.100	52.95.67.176
118.193.98.63	180.149.159.14
104.244.42.133	80.81.194.21
188.213.242.147	213.248.95.194
107.20.236.24	52.93.29.10
104.121.244.222	80.231.131.82
104.103.244.222	23.210.49.39
52.73.138.78	195.22.206.63
79.127.127.29	185.233.140.109
40.118.6.229	104.44.22.216
18.232.195.40	52.93.28.112
204.79.197.212	104.44.36.141
34.243.71.240	52.93.128.206
18.211.40.93	52.93.28.88
69.164.223.139	89.149.183.254
23.199.146.33	74.82.46.50
185.39.10.97	184.105.81.110
35.196.247.55	216.239.49.133
54.239.26.220	52.93.28.146
23.8.190.172	180.87.15.6
45.79.137.62	173.205.38.198
95.100.130.87	134.0.220.173
54.225.175.129	52.93.28.248
18.136.214.23	203.83.223.33
188.166.223.195	27.111.229.164
54.239.18.174	52.93.28.212
192.243.59.12	63.218.219.46
3.212.215.225	52.93.28.238
142.93.213.69	138.197.249.23
52.6.111.61	52.93.28.204
52.6.73.22	52.93.28.166
23.21.228.154	52.93.28.222
13.35.20.107	52.93.11.155
107.154.102.99	213.144.176.232
3.123.97.17	54.239.43.251
54.144.83.42	52.93.28.192
23.2.16.107	184.105.222.101
52.207.139.125	52.93.28.148
54.144.14.206	52.93.28.190
13.107.6.156	104.44.11.0
3.122.88.25	54.239.43.251
195.8.215.136	203.135.5.69
185.61.153.95	212.187.164.130
52.22.194.220	195.22.206.63
198.55.254.91	198.12.124.10
140.143.255.218	14.18.199.102
203.104.153.16	27.111.228.165
202.58.60.194	202.58.36.118
54.209.16.180	52.93.28.254
23.15.33.218	180.87.15.6
119.235.235.13	27.111.228.165
23.67.57.88	184.105.222.101
3.123.224.110	54.239.43.251
